IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.216.144.41,443,443,true,PDX,North America,US,Portland,337,7.65
52.33.222.117,443,443,true,SEA,North America,US,Seattle,229,7.64
34.219.48.248,443,443,true,PDX,North America,US,Portland,403,7.64
3.235.229.92,443,443,true,IAD,North America,US,Ashburn,323,7.63
3.17.66.54,443,443,true,YYZ,North America,CA,Toronto,433,7.63
34.219.5.203,443,443,true,PDX,North America,US,Portland,210,7.63
34.219.58.132,443,443,true,PDX,North America,US,Portland,307,7.63
3.236.254.222,443,443,true,IAD,North America,US,Ashburn,242,7.62
35.87.31.174,443,443,true,PDX,North America,US,Portland,225,7.62
18.216.55.100,443,443,true,CMH,North America,US,Columbus,412,7.62
44.243.224.205,443,443,true,PDX,North America,US,Portland,385,7.62
34.217.67.240,443,443,true,PDX,North America,US,Portland,434,7.62
67.226.221.100,80,443,true,SJC,North America,US,San Jose,417,7.62
3.15.225.242,443,443,true,YYZ,North America,CA,Toronto,234,7.61
34.219.29.205,443,443,true,PDX,North America,US,Portland,375,7.61
54.148.167.46,443,443,true,PDX,North America,US,Portland,220,7.61
34.219.110.195,443,443,true,PDX,North America,US,Portland,436,7.61
44.222.168.31,443,443,true,IAD,North America,US,Ashburn,339,7.60
67.226.221.210,80,443,true,SJC,North America,US,San Jose,508,7.60
3.21.134.136,443,443,true,YYZ,North America,CA,Toronto,378,7.60
3.69.53.72,443,443,true,FRA,Europe,DE,Frankfurt,214,7.60
3.16.42.85,443,443,true,YYZ,North America,CA,Toronto,241,7.59
34.219.55.66,443,443,true,PDX,North America,US,Portland,248,7.59
18.219.78.233,443,443,true,YYZ,North America,CA,Toronto,338,7.59
3.142.151.4,443,443,true,YYZ,North America,CA,Toronto,386,7.59
67.226.221.242,80,443,true,SJC,North America,US,San Jose,415,7.59
35.175.200.92,443,443,true,IAD,North America,US,Ashburn,255,7.59
34.219.6.41,443,443,true,PDX,North America,US,Portland,315,7.59
35.91.245.151,443,443,true,PDX,North America,US,Portland,242,7.59
54.186.168.214,443,443,true,SEA,North America,US,Seattle,265,7.58
3.237.5.140,443,443,true,IAD,North America,US,Ashburn,313,7.58
3.20.225.251,443,443,true,YYZ,North America,CA,Toronto,382,7.58
3.149.234.141,443,443,true,YYZ,North America,CA,Toronto,281,7.58
98.81.17.12,443,443,true,IAD,North America,US,Ashburn,292,7.58
35.93.151.18,443,443,true,PDX,North America,US,Portland,283,7.57
52.41.189.178,443,443,true,SEA,North America,US,Seattle,318,7.57
3.137.160.207,443,443,true,YYZ,North America,CA,Toronto,454,7.56
3.16.187.246,443,443,true,YYZ,North America,CA,Toronto,239,7.56
34.217.134.218,443,443,true,PDX,North America,US,Portland,271,7.56
3.137.172.232,8443,443,true,YYZ,North America,CA,Toronto,401,7.56
3.143.115.91,443,443,true,YYZ,North America,CA,Toronto,411,7.56
3.141.223.191,2053,443,true,ORD,North America,US,Chicago,462,7.55
44.223.44.156,443,443,true,IAD,North America,US,Ashburn,275,7.55
18.191.24.255,8443,443,true,YYZ,North America,CA,Toronto,371,7.55
18.199.213.201,443,443,true,FRA,Europe,DE,Frankfurt,217,7.55
35.166.123.240,443,443,true,PDX,North America,US,Portland,377,7.55
3.21.236.137,443,443,true,YYZ,North America,CA,Toronto,257,7.55
